p1,r,p2
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2013,paper_index: 1301.3781,title: Efficient Estimation of Word Representations in Vector Space,authors: [Tomas Mikolov, Kai Chen, Greg Corrado, Jeffrey Dean]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1411.2738,title: word2vec Parameter Learning Explained,authors: [Xin Rong]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1706.08160,title: Beyond Bilingual: Multi-sense Word Embeddings using Multilingual Context,authors: [Shyam Upadhyay, Kai-Wei Chang, Matt Taddy, Adam Kalai, James Zou]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1505.05008,title: Boosting Named Entity Recognition with Neural Character Embeddings,authors: [Cicero Nogueira dos Santos, Victor Guimarães]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1607.04606,title: Enriching Word Vectors with Subword Information,authors: [Piotr Bojanowski, Edouard Grave, Armand Joulin, Tomas Mikolov]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1707.06556,title: High-risk learning: acquiring new word vectors from tiny data,authors: [Aurelie Herbelot, Marco Baroni]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1707.06961,title: Mimicking Word Embeddings using Subword RNNs,authors: [Yuval Pinter, Robert Guthrie, Jacob Eisenstein]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1705.11168,title: Are distributional representations ready for the real world? Evaluating
  word vectors for grounded perceptual meaning,authors: [Li Lucy, Jon Gauthier]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2018,paper_index: 1802.05365,title: Deep contextualized word representations,authors: [Matthew E. Peters, Mark Neumann, Mohit Iyyer, Matt Gardner, Christopher Clark, Kenton Lee, Luke Zettlemoyer]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2018,paper_index: 1810.04805,title: BERT: Pre-training of Deep Bidirectional Transformers for Language
  Understanding,authors: [Jacob Devlin, Ming-Wei Chang, Kenton Lee, Kristina Toutanova]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1408.5882,title: Convolutional Neural Networks for Sentence Classification,authors: [Yoon Kim]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1510.03820,title: A Sensitivity Analysis of (and Practitioners' Guide to) Convolutional
  Neural Networks for Sentence Classification,authors: [Ye Zhang, Byron Wallace]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1511.05067,title: Joint Training of Generic CNN-CRF Models with Stochastic Optimization,authors: [Alexander Kirillov, Dmitrij Schlesinger, Shuai Zheng, Bogdan Savchynskyy, Philip H. S. Torr, Carsten Rother]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1609.02748,title: INSIGHT-1 at SemEval-2016 Task 5: Deep Learning for Multilingual
  Aspect-based Sentiment Analysis,authors: [Sebastian Ruder, Parsa Ghaffari, John G. Breslin]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1604.01178,title: Modeling Relational Information in Question-Answer Pairs with
  Convolutional Neural Networks,authors: [Aliaksei Severyn, Alessandro Moschitti]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2015,paper_index: 1503.02357,title: Context-Dependent Translation Selection Using Convolutional Neural
  Network,authors: [Zhaopeng Tu, Baotian Hu, Zhengdong Lu, Hang Li]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1402.1128,title: Long Short-Term Memory Based Recurrent Neural Network Architectures for
  Large Vocabulary Speech Recognition,authors: [Haşim Sak, Andrew Senior, Françoise Beaufays]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1412.3555,title: Empirical Evaluation of Gated Recurrent Neural Networks on Sequence
  Modeling,authors: [Junyoung Chung, Caglar Gulcehre, KyungHyun Cho, Yoshua Bengio]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1406.1078,title: Learning Phrase Representations using RNN Encoder-Decoder for
  Statistical Machine Translation,authors: [Kyunghyun Cho, Bart van Merrienboer, Caglar Gulcehre, Dzmitry Bahdanau, Fethi Bougares, Holger Schwenk, Yoshua Bengio]})"
"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})",[:CITES],"(:Paper {publication_year: 2016,paper_index: 1612.08083,title: Language Modeling with Gated Convolutional Networks,authors: [Yann N. Dauphin, Angela Fan, Michael Auli, David Grangier]})"
